old_filename,new_filename,product_id,source_name_ua,product_link
198.jpg,s-free-silky-smooth-treatment-cashmere-keratin-smoothing-3.jpg,1434,S FREE Silky Smooth Treatment — розгладжувальний тритмент для волосся з кашеміровим керати,http://kirkland.in.ua/s-free-silky-smooth-treatment
121.jpg,s-free-silky-smooth-treatment-cashmere-keratin-smoothing.jpg,1434,S FREE Silky Smooth Treatment — розгладжувальний тритмент для волосся з кашеміровим керати,http://kirkland.in.ua/s-free-silky-smooth-treatment
192.jpg,savon-doron-vita-c-face-wash-clay-pigmentation-120g-2.jpg,1362,Глиняна пінка з вітаміном C Savon Doron Vita-C Face Wash,http://kirkland.in.ua/savon-doron-vita-c-face-wash-120g-ua
172.jpg,savon-doron-vita-c-face-wash-clay-pigmentation-120g.jpg,1362,Глиняна пінка з вітаміном C Savon Doron Vita-C Face Wash,http://kirkland.in.ua/savon-doron-vita-c-face-wash-120g-ua
101.jpg,scaraway-medical-grade-silicone-scar-gel-scars-20g-2.jpg,1470,"Силіконовий гель від шрамів та рубців ScarAway Medical-Grade Silicone Scar Gel, 20 г",http://kirkland.in.ua/scaraway-medical-grade-silicone-scar-gel-20g
51.jpg,scaraway-medical-grade-silicone-scar-gel-scars-20g-3.jpg,1470,"Силіконовий гель від шрамів та рубців ScarAway Medical-Grade Silicone Scar Gel, 20 г",http://kirkland.in.ua/scaraway-medical-grade-silicone-scar-gel-20g
53.jpg,scaraway-medical-grade-silicone-scar-gel-scars-20g-4.jpg,1470,"Силіконовий гель від шрамів та рубців ScarAway Medical-Grade Silicone Scar Gel, 20 г",http://kirkland.in.ua/scaraway-medical-grade-silicone-scar-gel-20g
99.jpg,scaraway-medical-grade-silicone-scar-gel-scars-20g-5.jpg,1470,"Силіконовий гель від шрамів та рубців ScarAway Medical-Grade Silicone Scar Gel, 20 г",http://kirkland.in.ua/scaraway-medical-grade-silicone-scar-gel-20g
100.jpg,scaraway-medical-grade-silicone-scar-gel-scars-20g.jpg,1470,"Силіконовий гель від шрамів та рубців ScarAway Medical-Grade Silicone Scar Gel, 20 г",http://kirkland.in.ua/scaraway-medical-grade-silicone-scar-gel-20g
48.jpg,scarguard-repair-liquid-scars-15ml.jpg,1075,Scarguard Repair Liquid 15 мл рідкий засіб для догляду за старими та новими рубцями,http://kirkland.in.ua/scarguard-scar-ua
108.jpg,set-adapalene-15g-benzoyl-peroxide-30g-acne.jpg,923,Комплекс від акне з Адапаленом 15г і Бензоїл Пероксидом 30г,
75.jpg,set-eleneon-max-0-1-perolite-c5-acne-retinoid-antibacterial-care.jpg,1496,Комплекс від акне Eleneon Max 0.1% + Perolite-C5 — ретиноїдний та антибактеріальний догляд,
67.jpg,set-expigment-4-perolite-soap-pigmentation-cleansing.jpg,1486,Комплекс від пігментації Expigment 4% + Perolite Soap — тон шкіри та очищення,http://kirkland.in.ua/kompleks-vid-pigmentacii-expigment-4-perolite-soap
74.jpg,set-perolite-2-5-gel-eleneon-plus-0-05-acne-balanced-care.jpg,1494,Комплекс від акне Perolite 2.5% Gel + Eleneon Plus 0.05% — збалансований догляд,http://kirkland.in.ua/kompleks-vid-akne-perolite-25-eleneon-plus
71.jpg,set-perolite-2-5-gel-perolite-c5-acne-benzoyl-peroxide-clindamycin.jpg,1497,Комплекс від акне Perolite 2.5% Gel + Perolite-C5 — бензоїл пероксид та кліндаміцин,http://kirkland.in.ua/kompleks-vid-akne-perolite-25-perolite-c5
69.jpg,set-perolite-2-5-gel-soap-perolite-c5-acne-full-bpo-complex.jpg,1499,Комплекс Perolite 2.5% Gel + Perolite Soap + Perolite-C5 — повний BPO-комплекс від акне,http://kirkland.in.ua/kompleks-perolite-25-soap-perolite-c5
73.jpg,set-perolite-5-gel-eleneon-max-0-1-acne-intensive-care.jpg,1493,Комплекс від акне Perolite 5% Gel + Eleneon Max 0.1% — інтенсивний догляд,
72.jpg,set-perolite-5-gel-eleneon-plus-0-05-acne-active-care.jpg,1495,Комплекс від акне Perolite 5% Gel + Eleneon Plus 0.05% — активний догляд,http://kirkland.in.ua/kompleks-vid-akne-perolite-5-eleneon-plus
70.jpg,set-perolite-soap-5-gel-2-5-gel-acne-bpo-care.jpg,1498,Комплекс Perolite Soap + Perolite 5% Gel + Perolite 2.5% Gel — очищення та BPO-догляд,http://kirkland.in.ua/kompleks-perolite-soap-perolite-5-perolite
